trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",25,0,-49.46316125891653,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",30,0,-146.17746600512135,"{0: 15, 1: 7, 2: 5, 3: 2, 4: 1}",0
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",30,13,-31.292610950197016,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",20,0,-127.11094846825432,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",25,0,-143.2392829357177,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",20,0,-121.6803363375038,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-117.14888713437352,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",30,0,-118.65460595385153,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.922193691444608}",25,0,-124.30531471921489,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",25,0,-110.30847200867984,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",30,0,-88.21000778287373,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",25,0,-54.81462531743651,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",25,0,-145.1465188930122,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
